General information;;;;;Effects;;;Additionally;
58;Threat of uncontrolled growth in the number of virtual machines;"The threat consists in the possibility of limiting or disrupting the availability of virtual resources for end users of cloud services by accidentally or unauthorized deliberate creation of multiple virtual machines by the intruder. 
This threat is caused by the limited amount of disk space allocated for the virtual infrastructure, and weaknesses in technologies for controlling the process of creating virtual machines. 
This threat can be implemented if the violator has rights to create virtual machines in the cloud infrastructure";"External intruder with low potential; Internal intruder with low potential";Cloud system, Cloud Infrastructure management console, cloud infrastructure;0;0;1;20.03.2015;11.02.2019
59;Threat of uncontrolled growth in the number of reserved computing resources;"The threat consists in the possibility of refusing to allocate computer resources to legal users after the violator has unlawfully reserved all available computer resources (computing resources and memory resources).
This threat is caused by vulnerabilities in the software of the virtual infrastructure management level, which implements the function of distributing computer resources between users. 
The implementation of this threat is possible if the violator successfully performs unauthorized access to the software of the virtual infrastructure management level, which implements the function of distributing computer resources between users.";"External intruder with low potential; Internal intruder with low potential";Information system, server;0;0;1;20.03.2015;11.02.2019
60;Threat of uncontrolled destruction of information by a big data warehouse;"The threat lies in the possibility of deleting some processed data from the storage without notifying the end user or administrator.
This threat is caused by weaknesses in the mechanism for automatic deletion of data that does not meet certain requirements (maximum"" lifetime "" in the repository, final inconsistency with other data, creating a copy in another location, etc.). 
This threat can be implemented if the measures implemented in the big data warehouse to control automatic data deletion are insufficient";Low-potential domestic intruder;Big data storage, metadata, protected data;0;1;1;20.03.2015;11.02.2019
61;Threat of incorrect setting of the transaction data structure;"The threat consists in the possibility of fraud committed by the violator (database client) by interrupting the transaction or spoofing the transaction ID. In the first case, the transaction is incomplete, and in the second case, the user forcibly completes the transaction, changing its ID, and notifying that the transaction was not completed, thereby provoking the transaction to be repeated. 
This threat is caused by weaknesses in the mechanism for monitoring the continuity of transactions and the integrity of data transmitted during a transaction between the database and its client";An internal intruder with an average potential;Network traffic, database, network software;0;1;1;20.03.2015;11.02.2019
62;Threat of incorrect use of a transparent proxy server due to browser plugins;"The threat lies in the possibility of redirecting or copying data processed by the browser through a transparent proxy server connected to the browser as a plugin. 
This threat is caused by weaknesses in the browser settings access control mechanism. 
Implementation is possible if the intruder successfully enables the transparent proxy server usage mode in the browser settings, for example, as a result of the cross-site scripting threat implementation";External intruder with low potential;Network Software;1;0;0;20.03.2015;11.02.2019
63;Threat of incorrect use of software and hardware functionality;"The threat consists in the possibility of using the declared capabilities of software and hardware in a certain (non-standard, incorrect) way in order to destructively affect the information system and the information it processes. 
This threat is related to weaknesses in the data processing mechanism and commands entered by users. 
This threat can be implemented if the intruder has access to software and hardware.";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software, Firmware, Hardware;1;1;1;20.03.2015;11.02.2019
64;Threat of incorrect implementation of licensing policies in the cloud;"The threat is the possibility that cloud service consumers may be denied remote access to the leased software (i.e., the availability of the SaaS cloud service is lost) due to the fault of the cloud service provider. 
This threat is caused by insufficient consideration of the issue of managing licensing policies for the use of software from various manufacturers in the cloud. 
The implementation of this threat is possible if the software licensing policy is based on limiting the number of installations or users of the software, and the created virtual machines with licensed software are used many times.";"External intruder with low potential; Internal intruder with low potential";System software, Application software, Network software;0;0;1;20.03.2015;11.02.2019
65;The threat of uncertainty in the distribution of responsibility between roles in the cloud;"The threat lies in the possibility of significant disagreements between the provider and the consumer of cloud services on issues related to determining their rights and obligations in terms of ensuring information security. 
This threat is caused by the lack of a sufficient set of measures to control the distribution of responsibility between different roles in terms of data ownership, access control, cloud infrastructure support, and so on. 
The ability to implement this threat increases if you use cloud services provided by other providers (i.e., if you use a scheme for providing cloud services with intermediaries).";"External intruder with low potential; Internal intruder with low potential";System Software;1;1;1;20.03.2015;11.02.2019
66;Threat of uncertainty of responsibility for cloud security;"The threat lies in the possibility of non-compliance with a number of information protection measures by both the cloud service provider and their consumer.
This threat is caused by the lack of a clear division of responsibility in terms of ensuring information security between the consumer and the cloud service provider. 
The implementation of this threat is possible if there is insufficient documentation of the division of responsibilities between the parties involved in the provision of cloud services, as well as the lack of a documented definition of responsibility for non-compliance with security requirements.";External intruder with low potential;Cloud system;1;1;1;20.03.2015;11.02.2019
67;Threat of unauthorized access to protected information;"The threat consists in the possibility of unauthorized accidental or deliberate familiarization of the user with information that is not intended for him, and its further use to achieve their own or other persons (organizations) ' s destructive goals.
This threat is caused by vulnerabilities in access control tools, errors in the configuration parameters of these tools, or the absence of the specified tools. 
The implementation of this threat does not imply the installation and use of special malicious software by the violator. At the same time, familiarization can be carried out by viewing information from other users ' monitor screens, from printed documents, by eavesdropping on conversations, etc.";Low-potential domestic intruder;Hardware, storage media, file system objects;1;0;0;20.03.2015;11.02.2019
68;Threat of illegal or incorrect use of the app interaction interface;"The threat consists in the possibility of an intruder performing a destructive program impact on the API in order to implement functions that were not originally provided for by the discredited application (for example, using debugging functions from the API). 
This threat is caused by the presence of weaknesses in the mechanism for checking input data and commands of the API used by the software. 
This threat can be implemented if the intruder has access to the API and the discredited application does not have a mechanism for checking input data and commands";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software, Firmware, Registry;1;1;1;20.03.2015;11.02.2019
69;Threat of illegal actions in communication channels;"The threat consists in the possibility of an intruder making changes to the operation of network protocols by adding or deleting data from the information flow in order to influence the operation of the discredited system or gain access to confidential information transmitted over the communication channel. 
This threat is caused by weaknesses in network protocols, which consist in the lack of verification of the integrity and authenticity of the received data. 
Implementation of this threat is possible if the violator performs unauthorized access to network traffic";External intruder with low potential;Network traffic;1;1;0;20.03.2015;11.02.2019
70;Threat of continuous modernization of cloud infrastructure;"The threat lies in the possibility of introducing vulnerabilities and weaknesses to the cloud system along with adding new software or hardware. At the same time, a system considered protected at the stage of its commissioning can no longer be considered as such after its modernization. 
This threat is caused by the fact that, firstly, cloud service providers provide an opportunity for the consumer of cloud services to choose and / or change the initial composition of the cloud infrastructure software in the process of providing such services, and, secondly, when new consumers are actively connected, the cloud infrastructure may be upgraded several times a year. 
Implementation of this threat is possible if the period until the next upgrade does not exceed the period for evaluating the system's compliance with security requirements in the absence of a cloud service management system and ensuring their security (cloud management systems).";An internal intruder with an average potential;Cloud infrastructure;0;1;1;20.03.2015;11.02.2019
71;Threat of unauthorized recovery of deleted protected information;"The threat lies in the possibility of direct access (access from architecture levels lower than the operating system level) to data stored on the machine storage medium, or data recovery from residual information read from the machine storage medium. 
This threat is caused by weaknesses in the mechanism for deleting information from machine media – information deleted from machine media can be restored in most cases. 
This threat can be implemented under the following conditions: 
information was deleted from the machine storage medium without using methods (methods, algorithms) of guaranteed data erasure (for example, physical destruction of the machine storage medium); 
technological features of the machine storage medium do not lead to guaranteed destruction of information when receiving a command to erase data; 
information was not stored in cryptographically transformed form";"External intruder with low potential; Internal intruder with low potential";Machine storage media;1;0;0;20.03.2015;11.02.2019
72;Threat of unauthorized shutdown or bypass of the BIOS write protection mechanism;"The threat lies in the possibility of introducing malicious program code into the BIOS/UEFI after the user mistakenly or maliciously turns off the BIOS / UEFI write protection mechanism, as well as in the possibility of installing an unsigned update that bypasses the BIOS/UEFI write protection mechanism. 
This threat is caused by weaknesses in measures to restrict access to the management of the BIOS/UEFI write protection mechanism, as well as vulnerabilities in the BIOS/UEFI update mechanism that lead to buffer overflow. 
This threat can be implemented in one of the following conditions: 
when the BIOS/UEFI write protection mechanism is turned off; 
the intruder successfully exploits a vulnerability in the BIOS/UEFI update mechanism that leads to a buffer overflow";Low-potential domestic intruder;BIOS/UEFI firmware and hardware;1;1;1;20.03.2015;11.02.2019
73;Threat of unauthorized access to active and / or passive virtual and / or physical network equipment from the physical and / or virtual network;"The threat consists in the possibility of malicious programs changing the algorithm of operation of the network equipment software and (or) its configuration parameters by exploiting vulnerabilities in the software and (or) firmware of the specified equipment. 
This threat is caused by limited functionality (the presence of weaknesses) active and / or passive virtual and / or physical network equipment that is part of the virtual infrastructure, if this equipment has a fixed network address. 
This threat can be implemented if there are vulnerabilities in the software and / or firmware of the network equipment.";"External intruder with medium potential; Internal intruder with medium potential";Network hardware, firmware, network software, virtual devices;1;1;1;20.03.2015;11.02.2019
74;Threat of unauthorized access to authentication information;The threat consists in the possibility of extracting passwords, usernames, or other credentials from the computer's RAM or stealing (copying) password files (including those stored in clear text) from machine storage media;"External intruder with low potential; Internal intruder with low potential";System software, file system objects, user credentials, registry, machine storage media;1;0;0;20.03.2015;11.02.2019
75;Threat of unauthorized access to virtual transmission channels;"The threat consists in the possibility of an intruder performing unauthorized interception of network node traffic that is inaccessible using network technologies other than network virtualization technologies, by incorrect use of such technologies. 
This threat is caused by weaknesses in the flow control, firewall, and access control measures implemented for network virtualization technologies (which are used to build virtual data channels).
This threat can be implemented if the intruder has privileges to interact using network virtualization technologies";"External intruder with low potential; Internal intruder with low potential";Network software, network traffic, virtual devices;1;0;0;20.03.2015;11.02.2019
76;Threat of unauthorized access to the hypervisor from a VM and / or physical network;"The threat consists in the possibility of an intruder bringing the entire (if the hypervisor is one) or part (if several hypervisors interact with each other) of the virtual infrastructure into a ""denial of service"" state by performing a destructive program action on the hypervisor from virtual machines running in the virtual environment created by it, or by influencing the hypervisor through its connection to a physical network. computer network.
This threat is caused by the presence of many different interfaces of interaction between the hypervisor and the virtual machine and /or physical network, vulnerabilities of the hypervisor, as well as software vulnerabilities and limited functionality of the hardware used to ensure its operability. 
This threat can be implemented in one of the following cases:
 the intruder has sufficient privileges to perform destructive software actions from virtual machines;
 the hypervisor has an active interface for interacting with the physical computer network";"External intruder with medium potential; Internal intruder with medium potential";Hypervisor;0;0;1;20.03.2015;11.02.2019
77;Threat of unauthorized access to data outside the reserved address space, including that allocated for virtual hardware;"The threat consists in the possibility of a malicious program operating inside a VM violating the integrity of the program code of its own and / or other virtual machines running under the same hypervisor, as well as changing its (their) configuration parameters. 
This threat is caused by the presence of weaknesses in the hypervisor software, which ensures that the address space used for storing not only protected information and the program code of the programs that process it, but also the program code that implements virtual hardware (virtual devices for processing, storing and transmitting data) is isolated from unauthorized access by malicious programs operating inside the virtual machine.
The implementation of this threat is possible if unauthorized access by a malicious program operating inside the VM to data stored outside the address space reserved for user data of this VM is successfully performed";"External intruder with medium potential; Internal intruder with medium potential";Server, workstation, virtual machine, hypervisor, machine storage media, metadata;0;1;1;20.03.2015;11.02.2019
78;Threat of unauthorized access to protected virtual machines from the virtual and / or physical network;"The threat consists in the possibility of an intruder performing a destructive software impact on virtual machines from a virtual and / or physical network, both using standard (non-virtual) network technologies and using network virtualization technologies. 
This threat is caused by the presence of network addresses for the created VMs and the possibility of their network interaction with other actors. 
This threat can be implemented if the intruder has information about the network address of the virtual machine, as well as the current activity of the virtual machine at the time of the intruder's destructive software impact.";"External intruder with low potential; Internal intruder with low potential";Virtual Machine;1;1;1;20.03.2015;11.02.2019
79;Threat of unauthorized access to protected VMs by other VMs;"The threat consists in the possibility of destructive software impact on protected virtual machines from other virtual machines using various mechanisms for data exchange between virtual machines implemented by the hypervisor and activated in the system. 
This threat is caused by weaknesses in the data exchange mechanism between VMs and vulnerabilities in its implementation in a specific hypervisor. 
This threat can be implemented if the intruder has sufficient privileges to use various mechanisms for data exchange between virtual machines implemented in the hypervisor and activated in the system.";"External intruder with low potential; Internal intruder with low potential";Virtual Machine;1;1;1;20.03.2015;11.02.2019
80;Threat of unauthorized access to protected virtual devices from the virtual and / or physical network;"The threat consists in the possibility for an intruder to remotely gain unauthorized access to virtual devices from a virtual and / or physical network using various network technologies used for data exchange in a system built using virtualization technologies. 
This threat is caused by the presence of weaknesses in the network software interfaces of hypervisors designed for remote management of the composition and configuration of virtual devices created (created) by these hypervisors. 
This threat can be implemented if the intruder has sufficient privileges to exchange data in a system built using virtualization technologies.";"External intruder with medium potential; Internal intruder with medium potential";Virtual data storage, processing, and transmission devices;1;1;1;20.03.2015;11.02.2019
81;Threat of unauthorized access to the local computer via the grid system client;"The threat consists in the possibility for an intruder to perform a network login to the grid system node with the rights of one of the accounts corresponding to the software processes of the task management system, and then gain access to the private part of the cryptographic certificates used to establish communication in the grid system. 
This threat is caused by the presence of vulnerabilities in the client of the grid system (client software installed in the nodes of the grid system), the operation of which allows the intruder to perform read and write operations in objects of the local file system of the computer, send signals to program processes (including shutdown signals), read and write operations to the memory of program processes corresponding to connecting software and grid tasks, opening network connections in local and external nodes of the grid system. 
This threat can be implemented if malicious program code is introduced into the task management system. In fact, the presence in a grid system node of software unknown to its owner (the grid system client) that performs unknown calculations is a ""black box"" through which (by exploiting vulnerabilities or software bookmarks) an intruder can perform illegal actions in relation to the protected information stored in the grid system node (personal information of the node owner)";External intruder with medium potential;Grid system nodes;1;1;1;20.03.2015;11.02.2019
82;Threat of unauthorized access to computing field segments;"The threat consists in the possibility of unauthorized access by an intruder to the source data, intermediate and final calculation results of other users of the supercomputer, as well as accidental or deliberate destructive impact of the processes of solving some problems on the processes and results of solving other computational problems. 
This threat is caused by weaknesses in the mechanism for differentiating access of subjects to segments of computing fields of the supercomputer. 
The implementation of this threat is possible when performing tasks of different users of the supercomputer on the same computing field of the supercomputer";An internal intruder with an average potential;Computing node of a supercomputer;1;1;0;20.03.2015;11.02.2019
83;Threat of unauthorized access to the system via wireless channels;"The threat consists in the possibility of an intruder gaining access to the resources of the entire discredited information system through the wireless data transmission channels used in its composition. 
This threat is caused by weaknesses in the identification/authentication protocols (such as WEP, WPA and WPA2, AES) used to access wireless equipment. 
The implementation of this threat is possible if the intruder has specialized software that implements the functions of exploiting vulnerabilities in wireless network identification/authentication protocols, as well as being located at the point of receiving signals from the discredited wireless network.";External intruder with low potential;Network node, user credentials, network traffic, hardware;1;1;1;20.03.2015;15.11.2019
84;Threat of unauthorized access to the data storage system from a virtual and / or physical network;"The threat consists in the possibility of performing destructive software effects on virtual data storage devices and (or) virtual disks (which are both segments of virtual disk space created by a separate virtual device, and a single virtual disk space created by logically combining several virtual data storage devices).
This threat is caused by the presence of weaknesses in the technologies used to distribute information across various virtual storage devices and / or virtual disks, as well as weaknesses in the single virtual disk space technology. These weaknesses are related to the high complexity of algorithms for ensuring consistency of actions for distributing information within a single virtual disk space, as well as interaction with virtual and physical data transmission channels to ensure work within a single disk space.
The implementation of this threat is possible if the intruder has special software tools that can exploit the weaknesses of the technologies used in the construction of the data storage system (network technologies, information distribution technologies, etc.).";"External intruder with low potential; Internal intruder with low potential";Virtual storage devices, virtual disks;1;1;1;20.03.2015;11.02.2019
85;Threat of unauthorized access to protected information stored in the virtual space;"The threat consists in the possibility of violating the confidentiality of information contained in distributed files containing protected information by restoring the data of distributed files from their many individual fragments using software and information technologies for processing distributed information. 
This threat is caused by the fact that due to the use of a variety of virtualization technologies designed to work with data (data distribution within virtual and logical disks, data distribution between such disks, data distribution between physical and virtual drives of a single disk space, allocation of disk space areas as separate disks, etc.), almost all files are stored in a single disk. stored as a set of individual segments. 
This threat can be implemented if there are insufficient or no measures to ensure the confidentiality of information stored on individual storage devices";"External intruder with medium potential; Internal intruder with medium potential";Storage medium, file system objects;1;0;0;20.03.2015;11.02.2019
86;Threat of unauthorized modification of authentication information;"The threat consists in the possibility of unauthorized access by an intruder to the authentication information of other users using standard operating system tools or special software tools. 
This threat is caused by the presence of weaknesses in access control measures for authentication information. 
The implementation of this threat may contribute to further penetration of the intruder into the system under the account of a discredited user.";"External intruder with low potential; Internal intruder with low potential";System software, file system objects, user credentials, registry;0;1;1;20.03.2015;11.02.2019
87;Threat of unauthorized use of privileged BIOS functions;"The threat lies in the possibility of an intruder using potentially dangerous BIOS/UEFI capabilities. 
This threat is caused by the presence of potentially dangerous functionality in the BIOS/UEFI";"External intruder with high potential; Internal intruder with low potential";Hardware, BIOS/UEFI firmware;1;1;1;20.03.2015;11.02.2019
88;Threat of unauthorized copying of protected information;"The threat consists in the possibility of an intruder illegally obtaining a copy of the protected information by performing a sequence of illegal actions, including: unauthorized access to the protected information, copying the found information to removable media (or to another place accessible to the intruder outside the system). 
This threat is caused by weaknesses in the mechanisms for delineating access to protected information and controlling access of persons in the controlled area.
This threat can be implemented if there are no cryptographic security measures or a copy is removed at the time of processing the protected information in unencrypted form";"External intruder with low potential; Internal intruder with low potential";File system objects, machine storage media;1;0;0;20.03.2015;11.02.2019
89;Threat of unauthorized registry editing;"The threat lies in the possibility of an intruder making changes to the registry used by the discredited application, which affect the functioning of individual services of the application or the application as a whole. In this case, the registry is understood not only as the registry of the Microsoft Windows operating system, but also as any registry used by the application. Changing the registry can be either a stage in the implementation of other destructive actions, or the main goal. 
This threat is caused by the weaknesses of the access control mechanism, which consists in assigning too high privileges to programs that implement it when working with the registry. 
This threat can be implemented if the violator gets the rights to work with the registry editing program";"External intruder with low potential; Internal intruder with low potential";System software that uses the registry, registry;1;1;1;20.03.2015;11.02.2019
90;Threat of unauthorized user account creation;"The threat consists in the possibility of an intruder creating an additional user account in the system and then using it for their own illegal purposes (logging in with the rights of this account and performing destructive actions in relation to the discredited system or from the discredited system in relation to other systems).
This threat is caused by weaknesses in access control mechanisms for protected information. 
Implementation of this threat is possible if you also have the rights to run specialized programs for editing files containing information about system users (for remote access) or regular access controls from the operating system (for local access).";"External intruder with low potential; Internal intruder with low potential";System Software;1;1;1;20.03.2015;11.02.2019
91;Threat of unauthorized deletion of protected information;"The threat consists in the possibility of the violator causing economic, informational, moral and other types of damage to the owner and operator of illegally deleted information by performing destructive software or physical effects on the machine storage medium. 
This threat is caused by insufficient measures to ensure the availability of protected information in the system, as well as the presence of vulnerabilities in the software that implements these measures. 
This threat can be implemented if the violator obtains system rights to erase data or physical access to the machine storage medium at a distance sufficient to provide an effective destructive effect.";"External intruder with low potential; Internal intruder with low potential";Metadata, file system objects, and registry;0;0;1;20.03.2015;11.02.2019
92;Threat of unauthorized remote out-of-band access to hardware;"The threat consists in the possibility of an intruder obtaining system management privileges by using remote out-of-band (via an independent TCP/IP auxiliary channel) access. 
This threat is caused by the inability to control the mechanism that implements remote access functions at the hardware level, at the operating system level, as well as independence from the power state of hardware devices, since this mechanism provides for the procedure for remote switching on / off of hardware devices. 
This threat can be implemented
if:  the system has hardware that supports remote out-of-band access technology;
 the system is connected to public networks (the Internet)";External intruder with high potential;Information system, hardware;1;1;1;20.03.2015;11.02.2019
93;Threat of unauthorized buffer management;"The threat consists in the possibility of unauthorized access to the data contained in the clipboard by an intruder in order to get acquainted with the information stored there or to carry out destructive software effects on the system (for example, buffer overflow to execute arbitrary malicious code).
This threat is caused by weaknesses in the mechanism for delimiting access to the clipboard, as well as weaknesses in the mechanisms for checking input data. 
The implementation of this threat is possible if the violator successfully performs unauthorized access to the segment of RAM of the discredited object in which the clipboard is located.";"External intruder with low potential; Internal intruder with low potential";System software, Application software, Network software;1;1;1;20.03.2015;11.02.2019
94;Threat of unauthorized synchronization and state management;"The threat lies in the possibility of the violator changing the sequence of actions performed by discredited applications that use process management technologies based on the current time and state of the information system (for example, the current values of global variables, the presence of running processes, etc.), or in the possibility of modifying settings and changing the operating modes of industrial robots that lead to interference in the production process. process and theft of information stored in the robots ' memory (source code, product parameters, etc.). 
This threat is based on weaknesses in the synchronization and state management mechanism that allow the intruder to make changes to its operation at certain intervals, or the lack of authentication and authorization mechanisms. 
Implementation of this threat is possible if the violator has the ability to: 
monitor the status of the discredited application (algorithm execution stages) or industrial robots; 
track time points when the discredited application temporarily interrupts its work with global data; 
perform destructive actions at certain points in time (for example, make changes to the data file or change the contents of a memory location)";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software, Firmware;0;1;1;20.03.2015;11.02.2019
95;Threat of unauthorized pointer management;"The threat consists in the possibility of an intruder executing arbitrary malicious code on behalf of a discredited application or putting the discredited application in a ""denial of service"" state by changing pointers to memory locations containing certain data used by the discredited application. 
This threat is related to vulnerabilities in the means of delimiting memory access and controlling the integrity of the contents of memory cells. 
This threat can be implemented if the intruder has privileges to change the pointers used by the discredited application.";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software;1;1;1;20.03.2015;11.02.2019
96;Threat of inconsistency in the security policies of cloud infrastructure elements;"The threat lies in the possibility of an intruder performing destructive software actions against both cloud service providers and consumers. 
This threat is caused by insufficient consideration of the issue of managing security policies for cloud infrastructure elements due to the significant distribution of the cloud infrastructure. 
This threat can be implemented if you use different security policies that are not consistent with each other (for example, one security tool may deny access and another may grant access).";"External intruder with low potential; Internal intruder with low potential";System software, cloud system;1;1;1;20.03.2015;11.02.2019
97;Threat of inconsistency in big data access rules;"The threat consists in the possibility of providing erroneous unauthorized access to protected information or, conversely, the possibility of denying access to protected information to legal users due to errors made when delegating privileges to them by other legal users of the big data warehouse. 
This threat is caused by insufficient measures to differentiate and coordinate access to information of different users in the big data warehouse. 
This threat can be implemented if you use different security policies that are not consistent with each other (for example, one security tool may deny access and another may grant access).";Low-potential domestic intruder;Big Data Storage;1;0;1;20.03.2015;11.02.2019
98;Threat of detecting open ports and identifying network services associated with them;"The threat consists in the ability of the intruder to determine the status of network ports of the discredited system (so-called port scanning) to obtain information about the possibility of establishing a connection to the discredited system using these ports, the configuration of the system itself and the installed information security tools, as well as other information that allows the intruder to determine which ports destructive software actions can be for what reasons – only using special techniques to bypass firewalls. 
This threat is related to vulnerabilities and configuration errors in the firewall and network traffic filtering tools used in the discredited system. 
This threat can be implemented if the intruder has a connection to the discredited computer network and specialized software that implements port scanning and network traffic analysis functions";External intruder with low potential;Network node, network software, network traffic;1;0;0;20.03.2015;21.05.2019
99;Host Detection Threat;"The threat consists in the ability of the intruder to scan the computer network to identify working network nodes. 
This threat is related to weaknesses in network communication mechanisms that provide network clients with open technical information about network nodes, as well as vulnerabilities and configuration errors in the firewall and network traffic filtering tools used in the discredited system. 
The implementation of this threat is possible if the violator has a connection to the discredited computer network and specialized software that implements network traffic analysis functions.";External intruder with low potential;Network node, network software, network traffic;1;0;0;20.03.2015;11.02.2019
100;Threat to bypass incorrectly configured authentication mechanisms;"The threat consists in the possibility of an intruder obtaining privileges in the system without passing the authentication procedure by performing actions that violate the conditions for the correct operation of authentication tools (for example, entering data in an unsupported format).
This threat is caused by incorrect values of authentication tools configuration parameters and / or lack of input data control. 
This threat can be implemented if there are errors in the specified values of the authentication mechanisms configuration parameters";"External intruder with low potential; Internal intruder with low potential";System software, network software;1;1;1;20.03.2015;11.02.2019
101;Threat to public availability of cloud infrastructure;"The threat consists in the possibility of unauthorized access to the protected information of one cloud service consumer by another. 
This threat is caused by the fact that due to the peculiarities of cloud technologies, consumers of cloud services have to share the same cloud infrastructure. 
This threat can be implemented if errors are made when separating elements of the cloud infrastructure between consumers of cloud services, as well as when isolating their resources and separating data from each other";External intruder with medium potential;File system objects, hardware, and cloud server;1;1;1;20.03.2015;11.02.2019
102;Threat of indirect management of a group of programs through shared data;"The threat lies in the possibility of an intruder indirectly changing the algorithm of a group of programs that use shared data at the same time, by intercepting control over one of them (RAM cells, global variables, configuration files, etc.). 
This threat is caused by the presence of weaknesses in the mechanism for monitoring changes made to the general data of each of the programs in the group. 
This threat can be implemented if the intruder successfully intercepts control of one of the programs in the group of programs that use shared data";"External intruder with medium potential; Internal intruder with medium potential";System software, Application software, Network software;0;1;1;20.03.2015;11.02.2019
103;Threat to defining security object types;"The threat consists in the possibility of an intruder analyzing the output data of the discredited system using a method that allows you to determine the exact values of parameters and properties that are uniquely inherent in the discredited system (this method is known as ""fingerprinting"", from English ""fingerprinting""). The use of this method does not directly harm the discredited system. However, the information collected in this way allows the intruder to identify weaknesses in the discredited system, which can be used later in the implementation of other threats. 
This threat is caused by errors in the configuration parameters of firewall tools, as well as the lack of mechanisms for controlling input and output data. 
This threat can be implemented if the violator has information about the relationship of the output data with the configuration of the discredited system (software documentation, data transmission standards, specifications, etc.).";External intruder with low potential;Network node, network software, network traffic;1;0;0;20.03.2015;11.02.2019
104;Threat to defining a computer network topology;"The threat consists in the ability of the intruder to determine the state of network nodes of the discredited system (so-called network scanning) to obtain information about the topology of the discredited computer network, which can be used later in attempts to implement other threats. 
This threat is related to weaknesses in network interaction mechanisms that provide network clients with open technical information about network nodes, as well as vulnerabilities in firewall tools (the operation algorithm and configuration of network traffic filtering rules).
The implementation of this threat is possible if the intruder has the ability to connect to the computer network under study and has specialized software that implements the network traffic analysis function.";External intruder with low potential;Network node, network software, network traffic;1;0;0;20.03.2015;11.02.2019
105;Threat of failure to load input data in an unknown format by a big data warehouse;"The threat lies in the possibility that the big data store refuses to accept input data of an unknown format from a legitimate user. 
This threat is caused by the lack of a mechanism for independent (automatic) adaptation to new data formats in the big data warehouse. 
This threat can be implemented if you receive a request to upload input data of an unknown format to the storage.";Low-potential domestic intruder;Big data storage, metadata;0;1;1;20.03.2015;11.02.2019
106;Threat of denial of service by the supercomputer storage system;"The threat lies in the possibility of a significant slowdown in the terminal sessions of all users of the supercomputer, up to the point that the entire supercomputer reaches the ""denial of service"" state when the maximum achievable load on the parallel file system of the supercomputer is exceeded. 
This threat is caused by a significant increase in the number and volume of data stored on the drive for some computing tasks. 
The implementation of this threat is possible under the condition of intensive file I / O in the cluster file subsystem of a supercomputer based on the use of a parallel file system.";Low-potential domestic intruder;Supercomputer data storage system;0;0;1;20.03.2015;11.02.2019
107;Threat of disabling control sensors;"The threat consists in the possibility of providing an intruder with information isolation of the security system by interrupting the communication channel with control sensors that monitor system state parameters, or disrupting the operation of the sensors themselves. In this case, the system will stop responding to both safety incidents (if the sensors that were turned off were part of the safety system, for example, motion sensors) and other types of incidents (for example, when the fire alarm sensors are turned off, pressure increases in hydraulic units, etc.). 
This threat is caused by weaknesses in information security measures in automated process control systems, as well as the presence of vulnerabilities in the software that implements these measures. 
The implementation of this threat is possible if access (physical or software) is obtained to the communication lines of the security system with control sensors or to the sensors themselves";"External intruder with high potential; Internal intruder with low potential";System Software;0;1;1;20.03.2015;11.02.2019
108;Hypervisor update error threat;"The threat consists in the possibility of discrediting the security mechanisms that work on the basis of the hypervisor that prevent unauthorized access to VM images due to errors in updating it. 
This threat is caused by the dependence of the functioning of each virtual device and each virtualized access subject, as well as the entire virtual infrastructure (or part of it, if more than one hypervisor is used) on the health of the hypervisor. 
This threat can be implemented if errors occur during the hypervisor update process: 

 updates that introduce new errors in the hypervisor code;  updates
that introduce program code into the hypervisor that causes incompatibility of the hypervisor with its operating environment; 
other information security incidents";Low-potential domestic intruder;System software, hypervisor;1;1;1;20.03.2015;11.02.2019
